"sampling","plot","treatment","species","abundance"
"sampling 0","plot 15","p","trre",0.02
"sampling 0","plot 15","p","trre",0.02
"sampling 0","plot 15","p","trre",0.02
"sampling 10","plot 15","p","am",0.45
"sampling 10","plot 15","p","coar",0.1
"sampling 10","plot 15","p","coar",0.1
"sampling 10","plot 15","p","coar",0.1
"sampling 10","plot 15","p","coar",0.1
"sampling 10","plot 15","p","coar",0.1
"sampling 10","plot 15","p","mean",0.1
"sampling 10","plot 15","p","mean",0.1
"sampling 10","plot 15","p","mean",0.1
"sampling 10","plot 15","p","mean",0.1
"sampling 10","plot 15","p","mear",0.05
"sampling 10","plot 15","p","mear",0.05
"sampling 10","plot 15","p","melu",0.05
"sampling 10","plot 15","p","melu",0.05
"sampling 10","plot 15","p","ni_p15_4",0.04
"sampling 10","plot 15","p","ni_p15_4",0.04
"sampling 10","plot 15","p","ni_p15_4",0.04
"sampling 10","plot 15","p","ni_p15_4",0.04
"sampling 10","plot 15","p","ni_p15_4",0.04
"sampling 10","plot 15","p","ni_p15_5",0.01
"sampling 10","plot 15","p","shar",0.08
"sampling 10","plot 15","p","shar",0.08
"sampling 10","plot 15","p","shar",0.08
"sampling 10","plot 15","p","shar",0.08
"sampling 10","plot 15","p","shar",0.08
"sampling 10","plot 15","p","veof",0.01
"sampling 10","plot 15","p","vepe",0.02
"sampling 10","plot 15","p","vepe",0.02
"sampling 10","plot 15","p","vepe",0.02
"sampling 10","plot 15","p","vepe",0.02
"sampling 10","plot 15","p","vepe",0.02
"sampling 2","plot 15","p","elre",0.01
"sampling 2","plot 15","p","elre",0.01
"sampling 2","plot 15","p","elre",0.01
"sampling 3","plot 15","p","am",0.01
"sampling 3","plot 15","p","brst",0.04
"sampling 3","plot 15","p","elre",0.03
"sampling 3","plot 15","p","elre",0.03
"sampling 3","plot 15","p","elre",0.03
"sampling 3","plot 15","p","elre",0.03
"sampling 3","plot 15","p","elre",0.03
"sampling 3","plot 15","p","elre",0.03
"sampling 3","plot 15","p","elre",0.03
"sampling 3","plot 15","p","mean",0.01
"sampling 4","plot 15","p","am",0.04
"sampling 4","plot 15","p","brst",0.03
"sampling 4","plot 15","p","brst",0.03
"sampling 4","plot 15","p","dagl",0.02
"sampling 4","plot 15","p","dagl",0.02
"sampling 4","plot 15","p","elre",0.02
"sampling 0","plot 10","p","fear",0.03
"sampling 4","plot 15","p","me",0.01
"sampling 4","plot 15","p","mean",0.03
"sampling 4","plot 15","p","plla",0.01
"sampling 4","plot 15","p","plla",0.01
"sampling 4","plot 15","p","shar",0.01
"sampling 4","plot 15","p","shar",0.01
"sampling 4","plot 15","p","shar",0.01
"sampling 4","plot 15","p","vepe",0.02
"sampling 0","plot 10","p","fear",0.4
"sampling 5","plot 15","p","am",0.25
"sampling 5","plot 15","p","brho",0.01
"sampling 5","plot 15","p","elre",0.06
"sampling 5","plot 15","p","mean",0.08
"sampling 5","plot 15","p","mean",0.08
"sampling 5","plot 15","p","mean",0.08
"sampling 5","plot 15","p","mear",0.005
"sampling 5","plot 15","p","melu",0.04
"sampling 5","plot 15","p","melu",0.04
"sampling 5","plot 15","p","melu",0.04
"sampling 5","plot 15","p","ni_p15_4",0.04
"sampling 5","plot 15","p","ni_p15_4",0.04
"sampling 5","plot 15","p","ni_p15_4",0.04
"sampling 5","plot 15","p","plla",0.01
"sampling 5","plot 15","p","shar",0.03
"sampling 5","plot 15","p","shar",0.03
"sampling 5","plot 15","p","shar",0.03
"sampling 5","plot 15","p","shar",0.03
"sampling 5","plot 15","p","shar",0.03
"sampling 5","plot 15","p","vepe",0.05
"sampling 6","plot 15","p","am",0.5
"sampling 6","plot 15","p","coar",0.04
"sampling 6","plot 15","p","coar",0.04
"sampling 6","plot 15","p","coar",0.04
"sampling 6","plot 15","p","coar",0.04
"sampling 6","plot 15","p","coar",0.04
"sampling 6","plot 15","p","mean",0.13
"sampling 6","plot 15","p","mean",0.13
"sampling 6","plot 15","p","mean",0.13
"sampling 6","plot 15","p","mear",0.05
"sampling 6","plot 15","p","mear",0.05
"sampling 6","plot 15","p","mear",0.05
"sampling 6","plot 15","p","mear",0.05
"sampling 6","plot 15","p","melu",0.08
"sampling 6","plot 15","p","melu",0.08
"sampling 6","plot 15","p","melu",0.08
"sampling 6","plot 15","p","ni_p15_4",0.11
"sampling 6","plot 15","p","ni_p15_4",0.11
"sampling 6","plot 15","p","ni_p15_4",0.11
"sampling 6","plot 15","p","ni_p15_4",0.11
"sampling 6","plot 15","p","ni_p15_4",0.11
"sampling 6","plot 15","p","plla",0.06
"sampling 6","plot 15","p","plla",0.06
"sampling 6","plot 15","p","shar",0.02
"sampling 6","plot 15","p","shar",0.02
"sampling 6","plot 15","p","shar",0.02
"sampling 6","plot 15","p","shar",0.02
"sampling 6","plot 15","p","shar",0.02
"sampling 6","plot 15","p","veof",0.01
"sampling 6","plot 15","p","vepe",0.02
"sampling 7","plot 15","p","am",0.45
"sampling 7","plot 15","p","coar",0.06
"sampling 7","plot 15","p","coar",0.06
"sampling 7","plot 15","p","coar",0.06
"sampling 7","plot 15","p","coar",0.06
"sampling 7","plot 15","p","coar",0.06
"sampling 7","plot 15","p","lyar",0.01
"sampling 7","plot 15","p","mean",0.15
"sampling 7","plot 15","p","mean",0.15
"sampling 7","plot 15","p","mean",0.15
"sampling 7","plot 15","p","mear",0.06
"sampling 7","plot 15","p","mear",0.06
"sampling 7","plot 15","p","melu",0.1
"sampling 7","plot 15","p","melu",0.1
"sampling 7","plot 15","p","melu",0.1
"sampling 7","plot 15","p","melu",0.1
"sampling 7","plot 15","p","melu",0.1
"sampling 7","plot 15","p","ni_p15_4",0.06
"sampling 7","plot 15","p","ni_p15_4",0.06
"sampling 7","plot 15","p","ni_p15_4",0.06
"sampling 7","plot 15","p","ni_p15_4",0.06
"sampling 7","plot 15","p","ni_p15_4",0.06
"sampling 7","plot 15","p","ni_p15_4",0.06
"sampling 7","plot 15","p","plla",0.04
"sampling 7","plot 15","p","plla",0.04
"sampling 7","plot 15","p","shar",0.05
"sampling 7","plot 15","p","shar",0.05
"sampling 7","plot 15","p","shar",0.05
"sampling 7","plot 15","p","shar",0.05
"sampling 7","plot 15","p","veof",0.02
"sampling 7","plot 15","p","vepe",0.03
"sampling 8","plot 15","p","am",0.45
"sampling 8","plot 15","p","coar",0.07
"sampling 8","plot 15","p","coar",0.07
