"","plot","sampling","Y_zipf","mu_log","sigma_log","treatment"
"152","7","3",-1.32476621259774,1.72201384379719,1.36241282174027,"c"
"153","7","8",-1.25600790631497,1.94357641083171,1.17624529207206,"c"
"154","7","5",-1.01823519460182,2.47367910393431,0.770486351725597,"c"
"155","8","9",-2.02873392776662,1.67232865389633,1.82528895279134,"w"
"156","8","4",-1.87425108828745,1.61234941839601,1.7130170516902,"w"
"157","8","0",-1.39924041500466,1.74569909370635,1.4295969535877,"w"
"158","8","6",-1.02727944863799,1.7184172853985,0.817718011168599,"w"
"159","8","11",-2.10902653748019,0.968140438967805,2.1416478080776,"w"
"160","8","2",-1.0521838031929,1.62325027994094,1.05753686538261,"w"
"161","8","7",-0.929555204778045,2.01615494982986,0.728478035746694,"w"
"162","8","3",-1.4227635550725,1.3260028809388,1.40309011711842,"w"
"163","8","8",-1.38553156720411,1.39130498250101,1.18501372429944,"w"
"164","8","10",-2.45043548348768,0.777610726406652,2.50310462801162,"w"
"165","8","5",-2.30168926309279,2.68139877277632,1.58013928905427,"w"
"166","9","7",-0.930004149701736,1.44191624780997,0.885142170798771,"w"
"167","9","4",-1.55857759694821,1.50769840087992,1.49296379005364,"w"
"168","9","9",-1.56333339508298,1.307786580512,1.52597877248881,"w"
"169","9","8",-1.24374543493055,1.58998645231215,1.21092088859936,"w"
"170","9","10",-1.33634738398338,2.01029317093702,1.25747924920592,"w"
"171","9","0",-0.824586289370863,2.18411558854425,0.833758315902434,"w"
"172","9","6",-1.02206949119233,1.6125809152912,0.880501707655901,"w"
"173","9","11",-1.42411119735725,1.53087051623241,1.46465158882616,"w"
"174","9","2",-1.111509569684,1.21514269587758,1.15908369309217,"w"
"175","9","3",-1.13919648850075,1.54400333040478,1.09658056690875,"w"
"176","9","5",-1.16837771500753,1.6314259592271,1.14231816882323,"w"
"177","1","1",-0.790416272265475,1.64437592491539,0.819629290260184,"w"
"178","11","1",-1.60612935172765,1.00125515035119,1.64020381631406,"c"
"179","14","1",-0.594662493997511,1.20343493652081,0.641370321275507,"c"
"180","16","1",-1.76894966612382,0.917753163086562,1.81640834192761,"w"
"181","2","1",-1.17256352996713,0.992596043936422,1.24624473465933,"c"
"182","7","1",-1.39292249984248,1.23578105941109,1.4629432963698,"c"
"183","8","1",-1.30102752009471,1.37972501036468,1.31728543585149,"w"
"184","9","1",-1.19607925912993,1.86415092542547,1.11077741883543,"w"
