sampling,plot,code_old,code,abundance,nind_m2,OBS
16,13,trfr,trfr,2,1,
16,14,rabu,rabu,2,1,
16,15,gedi,gedi,2,1,
16,15,hysp,asteraceae,2,1,
16,15,sevu,asteraceae,2,1,
17,3,cegl,cegl,2,1,
17,4,trre,trre,2,1,
17,5,gedi,gedi,2,1,
17,5,trfr,trfr,2,1,
17,6,veof,veof,2,1,
17,7,trre,trre,2,1,
17,9,sevu,asteraceae,2,1,
17,9,visa,visa,2,1,
17,11,hysp,asteraceae,2,1,
17,11,plla,plla,2,1,
17,11,veof,veof,2,1,
17,12,gedi,gedi,2,1,
17,13,gedi,gedi,2,1,
17,13,gemo,gemo,2,1,
17,13,trdu,trdu,2,1,
17,14,mear,mear,8,4,
17,15,gedi,gedi,2,1,
17,16,gedi,gedi,2,1,
17,15,melu,melu,15,7,
15,13,mear,mear,11,5,
14,13,plla,plla,18,8,
17,6,tosp,tosp,9,4,
16,8,rapa,rapa,30,13,
16,1,gedi,gedi,7,3,
14,4,hysp,asteraceae,12,5,
17,16,poaceae,poaceae,80,33,
15,5,hysp,asteraceae,5,2,
15,8,gedi,gedi,20,8,
15,9,tosp,tosp,10,4,
15,12,melu,melu,5,2,
15,14,rabu,rabu,5,2,
16,6,mear,mear,25,10,
16,10,gedi,gedi,20,8,
16,13,mear,mear,20,8,
17,2,dagl,dagl,10,4,
17,5,fear,fear,5,2,
17,6,sevu,asteraceae,5,2,
17,9,gedi,gedi,5,2,
16,16,poaceae,poaceae,90,35,
13,15,melu,melu,8,3,
15,2,dagl,dagl,8,3,
17,5,plla,plla,27,10,
14,1,fear,fear,50,18,
15,13,plla,plla,20,7,
13,2,rabu,rabu,3,1,
13,3,dagl,dagl,6,2,
13,5,cabu,cabu,3,1,
13,5,gedi,gedi,3,1,
13,6,asteraceae,asteraceae,6,2,
13,6,dagl,dagl,3,1,
13,11,gemo,gemo,3,1,
13,13,asteraceae,asteraceae,3,1,
13,13,asteraceae,asteraceae,3,1,
13,15,tosp,tosp,3,1,
14,1,cadi,cadi,3,1,
14,3,dagl,dagl,3,1,
14,4,lyar,lyar,3,1,
14,5,fear,fear,3,1,
14,7,fear,fear,3,1,
